"Profile 1";"Profile 2";"Score"
"26|1|B";"26|2|A";0,10034
"4|2|B";"7|1|A";0,112372
"24|2|A";"34|1|A";0,117535
"11|2|B";"32|2|A";0,117996
"42|1|A";"43|2|A";0,131407
"31|1|A";"36|1|B";0,134289
"21|1|B";"31|2|B";0,147351
"7|2|B";"40|2|B";0,152225
"24|1|B";"35|1|A";0,161381
"32|1|B";"35|2|B";0,16142
"35|2|B";"36|1|B";0,164327
"14|2|B";"39|2|A";0,170756
"16|1|B";"34|1|A";0,172864
"33|2|A";"43|2|A";0,176948
"3|2|A";"16|2|A";0,178513
"38|1|A";"43|1|B";0,18235
"6|2|A";"34|1|A";0,182514
"13|2|A";"18|1|B";0,183845
"31|2|B";"42|2|B";0,185948
"2|1|A";"2|2|B";0,186184
"33|2|A";"42|1|A";0,188053
"6|1|B";"39|2|A";0,194343
"12|2|A";"24|1|B";0,194667
"7|1|A";"20|1|A";0,19831
"26|2|A";"32|2|A";0,201279
"22|1|A";"34|1|A";0,201282
"4|1|A";"11|2|B";0,202209
"4|1|A";"43|2|A";0,203413
"6|2|A";"18|2|A";0,204616
"4|2|B";"12|2|A";0,20514
"16|1|B";"39|2|A";0,207197
"1|2|A";"16|2|A";0,207685
"6|2|A";"24|2|A";0,207758
"5|1|A";"39|2|A";0,21058
"20|2|B";"35|1|A";0,210655
"24|1|B";"40|1|A";0,213544
"18|2|A";"28|2|A";0,21359
"12|2|A";"23|2|B";0,213726
"16|1|B";"23|2|B";0,214512
"8|1|B";"30|2|A";0,214737
"6|1|B";"14|2|B";0,215482
"23|2|B";"42|2|B";0,217589
"7|1|A";"12|2|A";0,21901
"9|2|A";"13|2|A";0,221131
"28|2|A";"37|1|B";0,221548
"22|2|B";"43|1|B";0,222975
"31|1|A";"35|2|B";0,223333
"22|2|B";"23|2|B";0,223961
"34|1|A";"39|2|A";0,223978
"9|2|A";"17|2|B";0,227136
"23|2|B";"43|1|B";0,227912
"26|1|B";"32|2|A";0,228026
"12|2|A";"43|1|B";0,228076
"14|2|B";"24|1|B";0,229826
"35|1|A";"40|1|A";0,230103
"22|1|A";"24|2|A";0,230299
"21|1|B";"42|2|B";0,231171
"22|2|B";"31|2|B";0,231569
"6|1|B";"24|1|B";0,232212
"6|2|A";"39|1|B";0,23224
"25|2|B";"38|1|A";0,232413
"13|2|A";"17|2|B";0,234397
"4|1|A";"32|2|A";0,234849
"24|2|A";"39|2|A";0,235105
"7|1|A";"23|2|B";0,235553
"12|2|A";"35|1|A";0,235835
"16|1|B";"22|2|B";0,236647
"6|2|A";"39|2|A";0,237694
"17|2|B";"39|1|B";0,238172
"35|2|B";"42|2|B";0,23857
"17|1|A";"18|2|A";0,239971
"7|2|B";"30|2|A";0,241473
"32|1|B";"36|1|B";0,24151
"2|1|A";"36|2|A";0,241684
"16|1|B";"22|1|A";0,242025
"11|1|A";"43|2|A";0,242308
"11|1|A";"42|1|A";0,242635
"4|2|B";"23|2|B";0,243175
"11|2|B";"43|2|A";0,243349
"16|1|B";"24|2|A";0,244588
"9|2|A";"39|1|B";0,245985
"1|2|A";"3|2|A";0,246085
"36|1|B";"42|1|A";0,246174
"4|2|B";"43|1|B";0,247419
"27|2|B";"38|2|B";0,248464
"20|2|B";"24|1|B";0,249122
"32|2|A";"37|1|B";0,249137
"21|1|B";"22|2|B";0,250205
"4|1|A";"21|1|B";0,25064
"42|1|A";"42|2|B";0,252299
"12|2|A";"38|1|A";0,25244
"6|1|B";"35|1|A";0,252787
"11|1|A";"31|1|A";0,253939
"3|1|B";"30|2|A";0,254285
"39|1|B";"39|2|A";0,256379
"6|2|A";"16|1|B";0,257455
"9|2|A";"18|1|B";0,259195
"18|2|A";"39|1|B";0,259782
"22|2|B";"42|2|B";0,259915
"28|1|B";"39|2|A";0,2602
"4|2|B";"20|1|A";0,260877
"21|1|B";"43|2|A";0,26255
"23|2|B";"24|2|A";0,263852
"22|1|A";"31|2|B";0,265105
"7|1|A";"38|1|A";0,265182
"31|2|B";"43|2|A";0,266131
"13|2|A";"39|1|B";0,266138
"12|2|A";"20|1|A";0,266914
"30|2|A";"40|2|B";0,267004
"21|1|B";"23|2|B";0,267796
"22|2|B";"34|1|A";0,26793
"6|2|A";"28|1|B";0,268268
"3|1|B";"8|1|B";0,26958
"23|2|B";"34|1|A";0,270487
"31|2|B";"33|2|A";0,270959
"8|1|B";"30|1|B";0,272019
"11|1|A";"33|2|A";0,272202
"27|2|B";"40|2|B";0,2725
"28|1|B";"39|1|B";0,272767
"2|2|B";"36|2|A";0,273297
"22|2|B";"24|2|A";0,273451
"4|1|A";"33|2|A";0,27359
"7|1|A";"43|1|B";0,273872
"24|2|A";"31|2|B";0,274117
"23|2|B";"31|2|B";0,274172
"4|2|B";"14|1|A";0,274863
"20|2|B";"43|1|B";0,27512
"12|2|A";"36|2|A";0,275935
"4|2|B";"38|1|A";0,276077
"21|1|B";"34|1|A";0,276368
"14|2|B";"35|1|A";0,276641
"24|1|B";"43|1|B";0,276728
"4|1|A";"42|1|A";0,276934
"6|1|B";"13|2|A";0,277325
"24|2|A";"42|2|B";0,277536
"4|2|B";"42|2|B";0,277691
"21|1|B";"24|2|A";0,278656
"16|1|B";"20|1|A";0,279407
"42|2|B";"43|2|A";0,281595
"33|2|A";"36|1|B";0,283037
"17|1|A";"39|2|A";0,283844
"5|1|A";"14|2|B";0,285158
"22|1|A";"22|2|B";0,285203
"14|2|B";"24|2|A";0,285993
"11|2|B";"26|1|B";0,286246
"21|1|B";"42|1|A";0,286381
"31|1|A";"42|1|A";0,286446
"20|1|A";"38|1|A";0,286726
"31|1|A";"33|2|A";0,286742
"4|1|A";"26|1|B";0,287121
"21|1|B";"33|2|A";0,28766
"1|1|B";"27|2|B";0,2877
"3|1|B";"20|2|B";0,288075
"7|1|A";"14|1|A";0,288576
"6|2|A";"17|2|B";0,289917
"31|1|A";"43|2|A";0,291528
"23|2|B";"24|1|B";0,291905
"11|2|B";"26|2|A";0,292564
"4|1|A";"31|2|B";0,293269
"4|2|B";"32|1|B";0,294258
"5|1|A";"34|1|A";0,294625
"4|1|A";"5|1|A";0,294678
"31|2|B";"42|1|A";0,295134
"20|2|B";"40|1|A";0,295259
"6|2|A";"17|1|A";0,295656
"6|1|B";"40|1|A";0,296
"21|1|B";"22|1|A";0,297357
"4|1|A";"24|2|A";0,297433
"23|2|B";"35|1|A";0,297435
"34|1|A";"42|2|B";0,297876
"31|2|B";"34|1|A";0,297932
"20|1|A";"25|2|B";0,297987
"25|2|B";"43|1|B";0,298153
"6|1|B";"17|1|A";0,298158
"24|1|B";"39|2|A";0,298336
"36|2|A";"38|1|A";0,298818
"20|1|A";"24|1|B";0,298836
"18|2|A";"28|1|B";0,29895
"22|1|A";"39|2|A";0,29906
"20|2|B";"30|2|A";0,299125
"12|2|A";"20|2|B";0,30004
"18|2|A";"34|1|A";0,300291
"5|1|A";"17|1|A";0,30103
"18|2|A";"25|1|A";0,301255
"23|2|B";"33|2|A";0,302484
"17|2|B";"39|2|A";0,303722
"31|1|A";"31|2|B";0,303934
"14|1|A";"38|1|A";0,304236
"12|2|A";"42|2|B";0,304769
"5|1|A";"24|2|A";0,304776
"4|2|B";"35|2|B";0,305148
"20|1|A";"43|1|B";0,305271
"20|2|B";"25|2|B";0,305274
"34|1|A";"39|1|B";0,306232
"4|1|A";"34|1|A";0,306938
"28|1|B";"34|1|A";0,306987
"20|1|A";"23|2|B";0,30701
"3|2|A";"40|2|B";0,308077
"18|1|B";"37|2|A";0,308159
"12|2|A";"14|2|B";0,308823
"14|2|B";"16|1|B";0,309633
"29|1|A";"36|2|A";0,30986
"5|1|A";"16|1|B";0,309938
"22|1|A";"42|2|B";0,30997
"11|2|B";"21|1|B";0,31023
"35|1|A";"43|1|B";0,310305
"30|1|B";"30|2|A";0,310751
"20|2|B";"22|2|B";0,310795
"3|2|A";"40|1|A";0,312019
"31|2|B";"35|2|B";0,312669
"26|2|A";"37|1|B";0,313381
"3|1|B";"25|2|B";0,313542
"3|1|B";"40|2|B";0,314349
"22|2|B";"33|2|A";0,314485
"16|1|B";"42|2|B";0,315035
"33|2|A";"42|2|B";0,315555
"10|1|A";"14|1|A";0,317446
"14|2|B";"23|2|B";0,317497
"1|2|A";"2|2|B";0,317555
"3|1|B";"40|1|A";0,317661
"12|2|A";"40|1|A";0,317748
"7|2|B";"20|2|B";0,318432
"36|1|B";"42|2|B";0,318812
"35|1|A";"39|2|A";0,319444
"24|1|B";"25|2|B";0,320056
"9|2|A";"39|2|A";0,32031
"32|1|B";"42|2|B";0,320595
"5|1|A";"24|1|B";0,32096
"22|2|B";"35|1|A";0,321225
"36|1|B";"43|2|A";0,321261
"22|1|A";"23|2|B";0,3213
"21|1|B";"31|1|A";0,321764
"7|1|A";"35|2|B";0,322142
"14|2|B";"43|1|B";0,32231
"6|2|A";"28|2|A";0,322847
"20|2|B";"40|2|B";0,32286
"6|1|B";"6|2|A";0,323157
"18|2|A";"24|2|A";0,323396
"35|2|B";"42|1|A";0,32435
"18|1|B";"39|1|B";0,324483
"16|1|B";"24|1|B";0,325155
"5|1|A";"6|1|B";0,325439
"3|1|B";"13|1|B";0,326111
"10|1|A";"44|2|B";0,326179
"5|1|A";"22|2|B";0,327339
"5|1|A";"35|1|A";0,327538
"16|1|B";"39|1|B";0,328001
"31|2|B";"35|1|A";0,328159
"6|2|A";"22|1|A";0,328664
"16|1|B";"31|2|B";0,330333
"13|2|A";"39|2|A";0,331138
"31|2|B";"36|1|B";0,331706
"24|2|A";"28|1|B";0,331806
"31|1|A";"42|2|B";0,332063
"21|2|A";"33|1|B";0,332354
"24|2|A";"39|1|B";0,332354
"16|1|B";"21|1|B";0,332392
"32|2|A";"43|2|A";0,332634
"14|2|B";"34|1|A";0,33267
"17|1|A";"17|2|B";0,332785
"13|1|B";"30|1|B";0,333205
"16|1|B";"35|1|A";0,333239
"14|2|B";"40|1|A";0,333863
"20|2|B";"38|1|A";0,334608
"16|1|B";"25|1|A";0,335607
"5|1|A";"23|2|B";0,335849
"22|2|B";"39|2|A";0,336007
"6|1|B";"24|2|A";0,336122
"7|1|A";"42|2|B";0,336559
"21|1|B";"36|1|B";0,33677
"1|2|A";"36|2|A";0,337228
"9|1|B";"9|2|A";0,337281
"4|2|B";"24|1|B";0,337304
"23|2|B";"35|2|B";0,338016
"12|2|A";"16|1|B";0,338131
"17|2|B";"28|1|B";0,338258
"1|2|A";"40|2|B";0,339223
"11|1|A";"36|1|B";0,339261
"8|2|A";"27|2|B";0,339382
"12|2|A";"22|2|B";0,339707
"4|2|B";"16|1|B";0,339939
"11|2|B";"37|1|B";0,341863
"44|1|A";"44|2|B";0,341879
"21|1|B";"35|2|B";0,341882
"17|1|A";"25|1|A";0,34256
"31|1|A";"32|1|B";0,342818
"16|1|B";"43|1|B";0,343341
"24|1|B";"38|1|A";0,344252
"1|1|B";"38|2|B";0,34457
"8|2|A";"40|2|B";0,344944
"7|2|B";"38|1|A";0,345014
"8|2|A";"41|1|B";0,345791
"18|2|A";"39|2|A";0,345831
"1|2|A";"40|1|A";0,345862
"11|2|B";"33|2|A";0,347107
"7|1|A";"22|2|B";0,347299
"23|2|B";"36|1|B";0,347625
"20|1|A";"36|2|A";0,347788
"11|2|B";"42|1|A";0,348054
"4|2|B";"36|1|B";0,348322
"5|1|A";"18|2|A";0,348379
"7|1|A";"36|1|B";0,34979
"7|1|A";"35|1|A";0,349873
"20|1|A";"25|1|A";0,349971
"4|1|A";"22|1|A";0,350167
"28|2|A";"32|2|A";0,350338
"38|1|A";"44|1|A";0,350763
"18|2|A";"37|1|B";0,350827
"8|1|B";"20|2|B";0,351042
"7|1|A";"36|2|A";0,351069
"4|2|B";"35|1|A";0,351668
"9|1|B";"17|2|B";0,351925
"12|2|A";"14|1|A";0,352156
"4|2|B";"22|2|B";0,352251
"25|2|B";"40|2|B";0,352944
"25|1|A";"34|1|A";0,353144
"6|1|B";"18|1|B";0,353182
"7|1|A";"32|1|B";0,353457
"25|2|B";"36|2|A";0,353644
"6|1|B";"9|2|A";0,353767
"4|1|A";"26|2|A";0,353857
"14|1|A";"20|1|A";0,353943
"7|1|A";"24|1|B";0,354552
"13|2|A";"17|1|A";0,355184
"6|1|B";"39|1|B";0,356295
"20|2|B";"23|2|B";0,356921
"1|1|B";"10|2|B";0,356944
"22|2|B";"43|2|A";0,35696
"23|2|B";"43|2|A";0,357468
"7|2|B";"8|2|A";0,357845
"11|1|A";"26|1|B";0,358039
"14|2|B";"20|1|A";0,358458
"5|1|A";"25|1|A";0,35849
"7|1|A";"16|1|B";0,358804
"25|1|A";"29|1|A";0,359404
"8|1|B";"25|2|B";0,359714
"15|1|A";"15|2|B";0,360113
"23|2|B";"39|2|A";0,360171
"12|2|A";"25|2|B";0,360321
"9|2|A";"28|1|B";0,360503
"24|2|A";"25|1|A";0,360633
"23|2|B";"42|1|A";0,360817
"6|2|A";"14|2|B";0,36117
"11|2|B";"24|2|A";0,361667
"28|2|A";"39|1|B";0,36169
"14|2|B";"39|1|B";0,361758
"22|2|B";"38|1|A";0,362362
"6|1|B";"34|1|A";0,363
"42|2|B";"43|1|B";0,363077
"40|1|A";"40|2|B";0,363874
"5|1|A";"22|1|A";0,363985
"14|2|B";"22|2|B";0,364215
"17|2|B";"18|2|A";0,364363
"11|1|A";"31|2|B";0,364426
"40|2|B";"44|2|B";0,364681
"20|1|A";"29|1|A";0,365439
"30|1|B";"41|1|B";0,36556
"26|1|B";"37|1|B";0,365578
"16|1|B";"28|1|B";0,366046
"14|2|B";"17|1|A";0,366533
"8|1|B";"8|2|A";0,366575
"1|1|B";"40|2|B";0,366764
"21|1|B";"26|1|B";0,367265
"22|2|B";"28|1|B";0,367271
"7|2|B";"8|1|B";0,367484
"25|1|A";"39|2|A";0,36757
"7|2|B";"27|2|B";0,367587
"39|2|A";"40|1|A";0,368998
"1|2|A";"24|1|B";0,369278
"3|2|A";"35|1|A";0,369472
"16|1|B";"18|2|A";0,369552
"22|1|A";"35|1|A";0,369732
"1|2|A";"2|1|A";0,369794
"7|2|B";"44|1|A";0,369958
"3|1|B";"30|1|B";0,370117
"6|1|B";"16|1|B";0,370237
"13|1|B";"37|2|A";0,370318
"11|1|A";"42|2|B";0,370943
"4|1|A";"16|1|B";0,37129
"14|2|B";"22|1|A";0,37143
"17|1|A";"34|1|A";0,371482
"4|1|A";"22|2|B";0,371865
"38|1|A";"40|2|B";0,371971
"1|2|A";"27|2|B";0,372427
"19|1|B";"23|1|A";0,372641
"4|1|A";"28|2|A";0,373425
"11|2|B";"28|2|A";0,373605
"20|1|A";"39|2|A";0,373882
"35|1|A";"38|1|A";0,373972
"7|1|A";"31|1|A";0,373982
"10|2|B";"38|2|B";0,374001
"20|1|A";"35|1|A";0,374461
"10|2|B";"27|2|B";0,374494
"4|2|B";"36|2|A";0,374584
"12|2|A";"31|2|B";0,374827
"9|1|B";"28|1|B";0,375034
"3|1|B";"7|2|B";0,375264
